caption,comments_count,like_count,is_shared_to_feed,media_product_type,media_type,media_url,is_comment_enabled,permalink,timestamp,id
"*GORGEOUS IKKAT 5 PIECE COMBO* (MNO) 
 *➣1pcs Tote + 1pcs Coin Pouch + 1pcs Hand Wallet + 1pcs Sling + 1pcs Goggle Pouch.*
*➣ Stylish & Unique.*
*➣ Size Of Tote: 15"" × 12"".*
*➣ Hand Wallet: 8.5"" × 5.5"".*
*➣ Coin Pouch: 6 "" × 4.5""*
*➣ Goggle Pouch: 8.5""×4.5"".*
*➣ Sling: 7.5"" × 8"".*
*➣ Available In 9 Beautiful Prints.*
*➣ Excellent Quality.*
*➣ Video Provided For Simplification.*
*➣ Limited Stock.*
 899rs freeshipping",0,6,,FEED,CAROUSEL_ALBUM,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/333092246_2565783510240333_3856366137686403638_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=tdbujFjYRPgAX9aqtqK&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfDHmoceaxPXYjO5epdlwPVahWMQFJnOdaS1EG5QrbYTiA&oe=646ACA31,True,https://www.instagram.com/p/CpA9xUUPgAV/,2023-02-23 18:32:23+00:00,17998804321639527
"Pichwai Gadwal Pattu Kalmkari Digital Print Designer Saree

We take pride and excited to introduce these royal ethnic sarees to you!

It's highly handpicked and designed exclusively just for you!
Exult this festival/wedding season with these incredible weaved pure Gadwal silk sarees, that is high in quality and weaving all over the body with Mina Kalamkari And majestic contrast very big border and royal ombre kinda pallu.
It pairs with a contrasting blouse with a border to make them look even more classic and graceful.

Fully Stichtend blouse pichwai print with handwork 
Size 40+2 inch margin

*Price :- 1449/- Free Ship*

100% Quality assurance Item",0,3,True,REELS,VIDEO,,True,https://www.instagram.com/reel/CoczyDrKUmh/,2023-02-09 17:32:47+00:00,17896775459688969
"*699+$* CS

*Original Royal Copper  Chiffon brasso Saree Best Quality beautiful brasso collection contrast Mundi Contrast Blouse*",0,8,,FEED,CAROUSEL_ALBUM,https://scontent-maa2-2.cdninstagram.com/v/t51.29350-15/329451120_3496331633937859_7461551033283443808_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=84SLeIXPmr4AX--hREI&_nc_ht=scontent-maa2-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfAQbGiX7osGfSVI5Lqiv7aYlBajXRWvi-MNs2KnVHIYJQ&oe=646AFC9D,True,https://www.instagram.com/p/CoYpxmqvKnf/,2023-02-08 02:48:03+00:00,17996776486644862
"New Arrival 

Pure Chinon Silk Saree Multi Emrodiry Work Saree Lucknowi Lace & Raw Silk Stich Blouse !!

Price 899/- Free Ship😳

Fix Price No Less !

Ready Stock",0,5,,FEED,CAROUSEL_ALBUM,https://scontent-maa2-2.cdninstagram.com/v/t51.29350-15/328451607_1339199400206276_5425353760073587440_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=q8JRCKF4lScAX-GYju0&_nc_ht=scontent-maa2-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfCa5h_bLq9tNwRgSbV0JepCXYSYDlucNOExrbnHrGCI6g&oe=646B7134,True,https://www.instagram.com/p/CoIKLHMv0gU/,2023-02-01 17:04:03+00:00,17965262990320932
"❤️Wall frame set
💛Price - 1600
💚6*8 inch frame - 8
💙12*8 inch A4 frame - 1
🖤Free shipping
🤍4 white and 4 black frame 
🤎pics required - 9

#rsgiftings",0,3,,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/327839506_2241518759513551_4764378186247933888_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rnOHIz8bpWkAX-N8GOB&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfD1-rYuXZ3fxdRSmnLHpmnUaZA98925DnZg1LaGMMzWKg&oe=646BD175,True,https://www.instagram.com/p/CoB9s58PJx4/,2023-01-30 07:19:38+00:00,17962152425486729
"*₹.1650+shipp*

Launching pure superb softy kuberpattu with rich Copper silk zari with self blouse with very hit design of softy

Material - Copper kuberpattu rich",0,4,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/704206B599C11D8DB896A8CD4BF336A0_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=103&vs=2282440041927529_3204017438&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC83MDQyMDZCNTk5QzExRDhEQjg5NkE4Q0Q0QkYzMzZBMF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0VpS2p4TzFSaTVXUzhvRkFGT3g4eW9qZHFFd2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmgo6xy%2FSR4D8VAigCQzMsF0Ax4UeuFHrhGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBVJqdus_RTZAoKLS3WZgEBxnwENeyNpKDw3pj8szCXBw&oe=6467D2C5&_nc_sid=c07a80&_nc_rid=84dfea0a92,True,https://www.instagram.com/reel/CoANS7LIisO/,2023-01-29 14:57:57+00:00,17980584979800120
"*📌 PRICE DROP ALERT*

*FABRIC : SOFT LICHI SILK CLOTH.*

*DESIGN : BEAUTIFUL RICH PALLU & JACQUARD WORK ON ALL OVER THE SAREE.*

*BLOUSE : CONTRAST EXCLUSIVE JACQUARD BORDER.*

 😍 *Price :  499/- FREE SHIP* 😍

 ➡️ *100% BEST QUALITY* ⬅️

👌 *Once Give Opportunity , Coustomer Satisfaction Is Our Goal*",0,8,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/CC41A9BFBA68CEF60A5955680F168F9B_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=110&vs=5884369911647915_4151757085&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9DQzQxQTlCRkJBNjhDRUY2MEE1OTU1NjgwRjE2OEY5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0ZNTGh4TmJHRHVOUXQwVkFDSkNHMURnS3E5U2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmtpGDo%2FzM3j8VAigCQzMsF0AWwYk3S8aoGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfASpdUKc7cIN-jTNxU3eEe9jZe3gPoWreR-zbfqBrqknw&oe=6467A42E&_nc_sid=c07a80&_nc_rid=961f6f8a3c,True,https://www.instagram.com/reel/CoAGYkuocQs/,2023-01-29 13:57:31+00:00,18000676963609096
Price : 899 free shipping,0,4,,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/327437706_535616305332214_4486199986120968042_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9xGBvYZdFP4AX8iP_CW&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfDEHBICJ7P9CPd0UZ1g86tOUHXZGAHNkQuee-a85t9nUQ&oe=646BE552,True,https://www.instagram.com/p/Cn4dcSzPYOz/,2023-01-26 14:44:35+00:00,17863188350830759
"PREMIUM QUALITY 

5 line crystal long haram 
28 inches long 

Any color 
Only @ Rs.599 free shipping 🌟🌟🌟🌟🌟

OFFER PRICE",0,6,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/2A42F563E75A13A60A8C6F3A4F36EB91_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjM1Mi5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=103&vs=720975966431389_4058012293&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8yQTQyRjU2M0U3NUExM0E2MEE4QzZGM0E0RjM2RUI5MV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0NJNmdoTmN0X0Zoa29jQ0FLaGx5cWlmT3MwbWJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm8snBv%2B%2Fu7T8VAigCQzMsF0A2blYEGJN1GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBqJY4oFT8DmdOS91OXFvl-85PcW4ZSHk0JWF4ze6VntA&oe=64675B61&_nc_sid=c07a80&_nc_rid=7daa50bdad,True,https://www.instagram.com/reel/CnxJ8mWoYYA/,2023-01-23 18:40:57+00:00,17949135620445157
"Women's Solid Olive Dress

Fabric: Crepe

Sleeve Length: Three-Quarter Sleeves

Pattern: Self-Design

Sizes:
XS (Bust Size: 34 in, Length Size: 42 in) 
S (Bust Size: 36 in, Length Size: 42 in) 
M (Bust Size: 38 in, Length Size: 42 in) 
L (Bust Size: 40 in, Length Size: 42 in) 
XL (Bust Size: 42 in, Length Size: 42 in) 
XXL (Bust Size: 44 in, Length Size: 42 in) 

A Good quality for women. It will give then a classic and trendy look. This is Designed as per the latest trends to keep you in sync with high fashion and with casual, semi formal and other occasion, it will keep you comfortable all day long. The lovely design forms a substantial feature of this wear

Price: Rs.599 only

Cash on delivery ✔️
Free shipping✔️",0,7,,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/322945250_530911072310867_2139719929475697549_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=A8Cl79W48_AAX9hSyMA&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfBRMu1Omfu0kTAiuKwDEvnOIE2_wqdCNpHXnm6b97LgBg&oe=646B242A,True,https://www.instagram.com/p/Cm37wfGP1Iz/,2023-01-01 13:18:51+00:00,17980475041848091
"Floral Tie Front Ruffle Hem Milkmaid Dress

Fabric: Rayon

Sleeve Length: Short Sleeves

Pattern: Printed

Sizes: XS, S, M, L & XL

Price: Rs.470 only

Cash on delivery ✔️
Free shipping ✔️",0,19,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/474632DF781FDD517091DC7B1BE6DE80_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=105&vs=687658609584806_2059525703&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC80NzQ2MzJERjc4MUZERDUxNzA5MURDN0IxQkU2REU4MF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0llV1N4TTRKRWFXZE5JQUFNS291VXp0VjJBT2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmtr2x%2FPnak0AVAigCQzMsF0AqGZmZmZmaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfB5D2Mp0UEnmKm41dvkOq4jJe0hHRbNKYttbajM-erWOw&oe=646760C9&_nc_sid=c07a80&_nc_rid=dd57ba4df6,True,https://www.instagram.com/reel/Cm3eEoHIlUj/,2023-01-01 09:00:58+00:00,17925839375625869
"Best Selling Western Rayon Cotton 

▪ Code: ZCW13

▪ Fabric: Rayon cotton
▪ Work: Mill Print
▪ Stitch Type: Full Stitched
▪ Size: S(36), M(38), L(40), XL(42)

▪ Best Price: 499/- free ship (ME) 

✔ Best Quality 
✔ Ready Stock
✔ Single piece Ready 
✔ Full Set Available",2,6,True,REELS,VIDEO,,True,https://www.instagram.com/reel/Cm3BecLKzq0/,2023-01-01 04:50:13+00:00,18230240650081909
Price : 850 free shipping,0,2,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/FD46610BE1466D525CD7E63FAB5749A3_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=105&vs=570054158274259_1501419011&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9GRDQ2NjEwQkUxNDY2RDUyNUNEN0U2M0ZBQjU3NDlBM192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0VsX0dCUGF5NzdsV1NrRUFJY0xNVzRZNjNnTGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm9t38nsvB60AVAigCQzMsF0Aq752yLQ5WGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBOa-8fp5joYT2IRnj0-rO4DXBBFiA5LmfO68ympezQPw&oe=64675F12&_nc_sid=c07a80&_nc_rid=4c0932ff8a,True,https://www.instagram.com/reel/CmzE1qaoWKI/,2022-12-30 16:02:28+00:00,18089786845308522
Price: 950 free shipping,0,3,,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/322962977_3267848426811953_506222977399836440_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=IDHOv9dBrw8AX_0EdoS&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfD52EQdWzj9fO_eT50BqVGrr163BN9QZx3XYS0slejoCg&oe=646AF309,True,https://www.instagram.com/p/Cmt9oA3vy2U/,2022-12-28 16:22:46+00:00,17936071406589740
"Exclusive launch  soft light Organza With contrast Color jacquard with Sequence butti - We get you what you look for pure  soft Organza saree with Ready made blouse

Price - 1099/- Fix Price + ship ME

Blouse – heavy full worked stitched blousey with tassels long  38 size max can go upto 42 size sleeves attached 

Ready Stock Available",0,10,,FEED,CAROUSEL_ALBUM,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/322317685_200987729163789_5204614237387939761_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=CF1Yy9x18OkAX88CM3h&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfBVF8RHTy-Ns8EoeHzwquGD8FKLWTf9o8RtEDHnRrNpUw&oe=646B3F89,True,https://www.instagram.com/p/CmrRLabv23Y/,2022-12-27 15:15:54+00:00,17898391271720935
