,data,paging.cursors.after,paging.next
164,"[{'timestamp': '2022-06-22T01:44:47+0000', 'text': 'I want this', 'id': '17933170889127909'}]",,
165,[],,
166,"[{'timestamp': '2022-06-28T09:11:05+0000', 'text': 'Size pls', 'id': '18170204866234514'}, {'timestamp': '2022-06-13T12:50:58+0000', 'text': 'Rate mam', 'id': '17950373398839990'}]",,
167,[],,
168,[],,
169,"[{'timestamp': '2022-06-02T11:14:46+0000', 'text': 'Price', 'id': '17961908782686963'}, {'timestamp': '2022-06-02T07:39:31+0000', 'text': 'How much??', 'id': '17881994216664772'}, {'timestamp': '2022-06-02T04:26:26+0000', 'text': 'Rate please', 'id': '17952249361784802'}]",,
170,[],,
171,[],,
172,"[{'timestamp': '2022-04-24T08:08:20+0000', 'text': 'How much sis', 'id': '17937169733080910'}]",,
173,[],,
174,[],,
175,[],,
176,[],,
177,[],,
178,[],,
179,[],,
180,[],,
181,[],,
182,[],,
183,[],,
184,[],,
185,[],,
186,[],,
187,[],,
188,[],,
189,"[{'timestamp': '2022-07-12T12:10:46+0000', 'text': 'Mam for combo pp??', 'id': '17959484188846266'}]",,
190,[],,
191,"[{'timestamp': '2022-07-24T16:46:37+0000', 'text': 'Epadi order panradhu', 'id': '18044827552353953'}]",,
192,[],,
193,"[{'timestamp': '2022-07-07T09:03:52+0000', 'text': 'Tell me rate mam', 'id': '17926614263292141'}, {'timestamp': '2022-06-14T19:27:03+0000', 'text': 'Intha dress available ah xl', 'id': '18042003352345595'}, {'timestamp': '2022-06-14T19:25:06+0000', 'text': 'Hi', 'id': '17943317009083231'}, {'timestamp': '2022-04-09T17:21:07+0000', 'text': 'Pp', 'id': '18290520697062021'}]",,
194,"[{'timestamp': '2022-08-31T07:31:48+0000', 'text': 'I want this I want to order can I send send my addresss', 'id': '17961938950801312'}, {'timestamp': '2022-07-12T06:35:09+0000', 'text': 'I want this', 'id': '17940384587184168'}, {'timestamp': '2022-05-24T17:44:32+0000', 'text': 'I want this', 'id': '18297709864044410'}, {'timestamp': '2022-05-09T17:09:00+0000', 'text': 'Hi medam and sir', 'id': '17884004645649272'}]",,
195,[],,
196,[],,
197,[],,
198,[],,
199,[],,
200,"[{'timestamp': '2023-03-21T18:00:41+0000', 'text': 'Is this available?', 'id': '17957978726428021'}, {'timestamp': '2022-08-15T04:56:55+0000', 'text': 'Dad n mom n daughter rate pls', 'id': '17956494046963307'}, {'timestamp': '2022-08-15T04:56:16+0000', 'text': 'Total amount evlo mam', 'id': '18240069745138553'}, {'timestamp': '2022-06-23T14:20:03+0000', 'text': 'Hi', 'id': '17953880962910160'}, {'timestamp': '2022-03-29T11:04:03+0000', 'text': 'I want this type of dresses', 'id': '17906613692397356'}, {'timestamp': '2022-03-29T09:52:18+0000', 'text': 'Ena rate sia', 'id': '17903947217453731'}]",,
201,"[{'timestamp': '2022-03-27T13:53:56+0000', 'text': 'How to order', 'id': '17942762533808293'}]",,
202,[],,
203,[],,
204,"[{'timestamp': '2022-05-22T12:18:27+0000', 'text': 'We want this saree', 'id': '17925870158499493'}]",,
205,[],,
206,[],,
207,"[{'timestamp': '2022-05-25T13:04:26+0000', 'text': 'Is this available price plsz', 'id': '17989372207482626'}, {'timestamp': '2022-05-11T12:17:25+0000', 'text': 'Pp', 'id': '17901632600597784'}, {'timestamp': '2022-04-30T16:34:47+0000', 'text': 'Price', 'id': '17910898457385605'}, {'timestamp': '2022-04-22T03:43:38+0000', 'text': '𝑷𝒓𝒊𝒄𝒆', 'id': '17939438504058830'}, {'timestamp': '2022-04-20T01:37:10+0000', 'text': 'Price', 'id': '17937105935030050'}, {'timestamp': '2022-04-16T16:22:39+0000', 'text': 'How much for this', 'id': '17932934198127116'}, {'timestamp': '2022-04-13T06:09:09+0000', 'text': 'Pp', 'id': '18277586056067296'}, {'timestamp': '2022-04-08T18:08:55+0000', 'text': 'Pp', 'id': '18001672060424713'}, {'timestamp': '2022-04-08T05:27:14+0000', 'text': 'Price sollunga', 'id': '18131670826256853'}, {'timestamp': '2022-04-07T09:15:26+0000', 'text': 'How much thiz', 'id': '17943787270816577'}, {'timestamp': '2022-04-03T18:15:29+0000', 'text': 'Price', 'id': '18130736989270523'}, {'timestamp': '2022-04-03T09:09:17+0000', 'text': 'Price?', 'id': '17890985258529110'}, {'timestamp': '2022-04-03T07:03:07+0000', 'text': 'Price of this pls', 'id': '17853751040735856'}, {'timestamp': '2022-04-02T14:46:19+0000', 'text': 'Price plz', 'id': '17932719736984884'}, {'timestamp': '2022-04-01T07:50:01+0000', 'text': 'price ??', 'id': '18057068197307922'}, {'timestamp': '2022-03-30T05:56:41+0000', 'text': 'How much', 'id': '18048152305314506'}, {'timestamp': '2022-03-30T04:33:40+0000', 'text': 'Hello....tell me tha price', 'id': '18015886177361202'}, {'timestamp': '2022-03-28T06:59:54+0000', 'text': 'Pp', 'id': '17943917323796571'}, {'timestamp': '2022-03-28T06:12:40+0000', 'text': 'Price pls', 'id': '18121606660272611'}, {'timestamp': '2022-03-27T08:59:48+0000', 'text': 'How much price', 'id': '17891142776612260'}, {'timestamp': '2022-03-26T07:18:45+0000', 'text': 'Rate', 'id': '17939726668844060'}, {'timestamp': '2022-03-26T06:58:56+0000', 'text': 'Price pls', 'id': '17905100714525680'}, {'timestamp': '2022-03-25T06:33:06+0000', 'text': 'How much', 'id': '17964585349591867'}, {'timestamp': '2022-03-25T05:42:25+0000', 'text': 'How much', 'id': '18197808565153312'}, {'timestamp': '2022-03-24T22:48:40+0000', 'text': 'Price pls', 'id': '17935259911918891'}]",UVZAGRFdWOUNUbXRtYUdvd2J6WjJSREZAxTm5CaWRYZAHdNSHByU1Uxd1MwbGFkMHRMTUhrNVpVaHBhMDVmVkZAneU5HcHBjbGRVTW1kQk5UZA3labko0VmsxUlVGRlVYekJaYnpaaWVYQmxYMEp2YkhaRVdrWjZAOUT09,https://graph.facebook.com/v16.0/18120195628284653/comments?access_token=EAAROMeBzZAZB0BAF60u7KPt8wmUkHtuQa2BtIVoJHrCFA9lwUGZC9FjJ4WslJkPJiuOMw39YnNZBlZAKfSpbJJ4P8yXHOwXDHuSxsG5hLoYhK6wBojZBRa76ZAsN6tR6sHI9r7xqkZBcBKMZCTYnD312yyJZATbexIMDMMlzTtLYZAvzCfPhalZC3Sja0ZBe8CoeqgeKdN3zp56Eq7ZBw08uxfUTlZB&limit=25&after=UVZAGRFdWOUNUbXRtYUdvd2J6WjJSREZAxTm5CaWRYZAHdNSHByU1Uxd1MwbGFkMHRMTUhrNVpVaHBhMDVmVkZAneU5HcHBjbGRVTW1kQk5UZA3labko0VmsxUlVGRlVYekJaYnpaaWVYQmxYMEp2YkhaRVdrWjZAOUT09
208,[],,
209,[],,
210,[],,
211,[],,
212,[],,
213,[],,
214,[],,
215,[],,
216,"[{'timestamp': '2022-03-23T18:01:10+0000', 'text': 'Price', 'id': '18169526905201654'}, {'timestamp': '2022-03-23T09:09:27+0000', 'text': 'Pp', 'id': '17887234487621132'}]",,
217,"[{'timestamp': '2022-03-22T08:06:14+0000', 'text': 'Pp', 'id': '17945534905873705'}]",,
218,[],,
219,[],,
220,[],,
221,[],,
222,[],,
223,"[{'timestamp': '2022-03-20T13:20:05+0000', 'text': 'How much', 'id': '17930112038120975'}]",,
224,[],,
225,[],,
226,[],,
227,[],,
228,[],,
229,[],,
230,[],,
231,[],,
232,[],,
233,[],,
234,[],,
235,[],,
236,"[{'timestamp': '2022-05-22T12:20:23+0000', 'text': 'I want to purchase this', 'id': '17921109308297994'}, {'timestamp': '2022-04-30T16:39:41+0000', 'text': 'I want to purchase this', 'id': '17877514919669229'}, {'timestamp': '2022-04-10T09:37:28+0000', 'text': 'I want this kurthi', 'id': '17889681032619126'}]",,
237,"[{'timestamp': '2022-08-18T08:21:51+0000', 'text': 'Hii I need this pink how much', 'id': '18179308537226403'}, {'timestamp': '2022-03-22T14:03:27+0000', 'text': 'I want these top', 'id': '17974346449477038'}, {'timestamp': '2022-03-22T06:47:44+0000', 'text': 'How to order', 'id': '18046398841317208'}, {'timestamp': '2022-03-20T13:48:27+0000', 'text': 'Blue', 'id': '17941271017912746'}, {'timestamp': '2022-03-20T13:48:04+0000', 'text': 'How much', 'id': '17924607140234866'}]",,
238,[],,
239,[],,
240,[],,
241,[],,
242,[],,
243,[],,
244,[],,
245,[],,
246,[],,
247,[],,
248,"[{'timestamp': '2022-06-13T10:08:56+0000', 'text': 'Price', 'id': '17938022435166272'}, {'timestamp': '2022-03-28T07:33:00+0000', 'text': 'Price', 'id': '17928823583183710'}, {'timestamp': '2022-03-23T10:11:08+0000', 'text': 'Price', 'id': '17971019854532719'}, {'timestamp': '2022-03-23T09:11:57+0000', 'text': 'Pp', 'id': '17942964259802394'}]",,
249,[],,
250,[],,
251,[],,
252,[],,
253,[],,
254,"[{'timestamp': '2022-03-24T12:38:23+0000', 'text': 'Yes', 'id': '17937991789969201'}]",,
255,[],,
256,"[{'timestamp': '2022-06-13T20:07:43+0000', 'text': 'Ful set rate tenna', 'id': '17991690133485773'}]",,
257,"[{'timestamp': '2022-02-26T18:26:31+0000', 'text': 'Eavaloo', 'id': '18283552669052900'}]",,
258,[],,
259,"[{'timestamp': '2022-03-30T14:34:42+0000', 'text': 'Brown', 'id': '18053624473311285'}]",,
260,[],,
261,[],,
262,[],,
263,[],,
264,"[{'timestamp': '2022-03-20T12:08:26+0000', 'text': 'Price', 'id': '17907322511369429'}, {'timestamp': '2022-03-20T12:07:51+0000', 'text': 'How much', 'id': '18286429501042276'}]",,
265,[],,
266,[],,
267,"[{'timestamp': '2022-04-30T16:41:45+0000', 'text': 'How to purchase', 'id': '17939059066903110'}]",,
268,[],,
269,[],,
270,[],,
271,[],,
272,[],,
273,[],,
274,[],,
275,"[{'timestamp': '2022-02-20T16:28:13+0000', 'text': 'how much cost?', 'id': '17987744548444233'}]",,
276,[],,
277,[],,
278,[],,
279,"[{'timestamp': '2022-03-23T08:04:38+0000', 'text': 'Black  sudi', 'id': '17935056248022857'}]",,
280,[],,
281,[],,
282,"[{'timestamp': '2022-03-27T02:15:40+0000', 'text': 'Price', 'id': '18006456229400681'}, {'timestamp': '2022-03-25T19:01:41+0000', 'text': 'Pp', 'id': '18029749606351902'}]",,
283,[],,
284,"[{'timestamp': '2022-04-30T16:42:59+0000', 'text': 'How to order', 'id': '18135297046256721'}]",,
285,[],,
286,[],,
287,[],,
288,[],,
289,[],,
290,[],,
291,[],,
292,[],,
293,[],,
294,"[{'timestamp': '2022-07-12T06:38:34+0000', 'text': 'Price', 'id': '18144383437267631'}, {'timestamp': '2022-07-12T06:38:26+0000', 'text': 'I want this', 'id': '18217121401145144'}]",,
295,[],,
296,[],,
297,[],,
298,[],,
299,[],,
300,[],,
301,[],,
302,"[{'timestamp': '2022-02-26T19:03:36+0000', 'text': 'Hii please order', 'id': '17907000950513989'}]",,
303,[],,
304,"[{'timestamp': '2023-02-01T15:43:21+0000', 'text': 'Ithu readymade blouse sh', 'id': '17960355506129457'}]",,
305,"[{'timestamp': '2022-03-25T17:45:41+0000', 'text': 'Hw mch', 'id': '17923238564262231'}]",,
306,"[{'timestamp': '2022-08-29T12:13:53+0000', 'text': 'Price please', 'id': '18136773019286899'}, {'timestamp': '2022-03-11T06:41:36+0000', 'text': 'Ret pls', 'id': '17853756728696479'}, {'timestamp': '2022-02-26T18:24:05+0000', 'text': 'Pp', 'id': '17923995371302036'}, {'timestamp': '2022-02-26T00:50:05+0000', 'text': 'How much', 'id': '17941070557768235'}, {'timestamp': '2022-02-15T16:18:46+0000', 'text': 'Pp', 'id': '18165388114205237'}, {'timestamp': '2022-02-14T20:04:48+0000', 'text': 'Pp', 'id': '17946030436786309'}, {'timestamp': '2022-02-14T15:01:36+0000', 'text': 'How much', 'id': '17937860077822933'}, {'timestamp': '2022-02-14T06:39:02+0000', 'text': 'Sir I need this', 'id': '17918267507251226'}, {'timestamp': '2022-02-13T14:53:15+0000', 'text': 'Shirt wow mach', 'id': '17957162992620200'}]",,
307,[],,
308,[],,
309,"[{'timestamp': '2022-02-13T06:31:10+0000', 'text': 'How much mam', 'id': '17971592674512717'}]",,
310,[],,
311,[],,
312,[],,
313,"[{'timestamp': '2022-03-23T10:20:48+0000', 'text': 'Pls inbox me', 'id': '17950222189752034'}, {'timestamp': '2022-02-13T03:35:22+0000', 'text': 'Colours', 'id': '17933909065875395'}, {'timestamp': '2022-02-13T03:35:01+0000', 'text': 'I need this dress still available', 'id': '17930359763022412'}]",,
314,[],,
315,[],,
316,"[{'timestamp': '2022-02-11T15:48:41+0000', 'text': 'Delivery eppo agum', 'id': '17924918165014381'}]",,
317,[],,
318,"[{'timestamp': '2022-02-13T07:24:16+0000', 'text': 'Fipkart la 500 than but nenga over ah solringa', 'id': '17897362148469019'}, {'timestamp': '2022-02-12T17:16:06+0000', 'text': 'What is the length of this dress', 'id': '18113305714273126'}, {'timestamp': '2022-02-12T14:15:16+0000', 'text': 'Pp', 'id': '17961802582562530'}, {'timestamp': '2022-02-12T10:15:31+0000', 'text': 'Pc', 'id': '17907812006436766'}, {'timestamp': '2022-02-12T03:36:51+0000', 'text': 'Pp', 'id': '17931860422992711'}, {'timestamp': '2022-02-11T15:17:13+0000', 'text': 'I bought rs. 450 only', 'id': '17912066039238449'}, {'timestamp': '2022-02-11T09:50:56+0000', 'text': 'Price pls', 'id': '18182009773160071'}]",,
319,[],,
320,[],,
321,[],,
322,[],,
323,[],,
324,[],,
325,[],,
326,[],,
327,"[{'timestamp': '2022-02-11T09:44:13+0000', 'text': 'How much is this?', 'id': '17891785313564611'}]",,
328,[],,
329,[],,
330,[],,
331,[],,
332,[],,
333,"[{'timestamp': '2022-06-13T11:58:47+0000', 'text': 'I want pillow', 'id': '17860142006753519'}]",,
334,[],,
335,[],,
336,[],,
337,"[{'timestamp': '2022-05-22T12:25:34+0000', 'text': 'I want to purchase this', 'id': '17941904818918811'}]",,
338,"[{'timestamp': '2022-08-18T08:23:05+0000', 'text': 'I need this pink', 'id': '18040707133365352'}]",,
339,[],,
340,[],,
341,[],,
342,[],,
343,"[{'timestamp': '2022-05-06T02:08:30+0000', 'text': 'Bad quality waste of price', 'id': '17939759501043055'}, {'timestamp': '2022-02-10T15:41:07+0000', 'text': 'White color is available¿¿', 'id': '18218643418116866'}]",,
344,[],,
345,[],,
346,[],,
347,[],,
348,[],,
349,[],,
350,"[{'timestamp': '2022-02-11T09:47:18+0000', 'text': 'How much?I need this?', 'id': '17936934289822434'}]",,
351,[],,
352,[],,
353,[],,
354,[],,
355,[],,
356,[],,
357,[],,
358,[],,
359,[],,
360,[],,
361,"[{'timestamp': '2022-02-10T18:05:02+0000', 'text': 'Ok mam', 'id': '17930266913017321'}, {'timestamp': '2022-02-10T18:03:55+0000', 'text': '14th venum', 'id': '17961021697572485'}, {'timestamp': '2022-02-10T18:01:33+0000', 'text': '13 th kulla delivery aguma', 'id': '17941049920745135'}, {'timestamp': '2022-02-10T17:59:12+0000', 'text': 'How much', 'id': '17942930728725752'}]",,
362,[],,
363,[],,
364,[],,
365,[],,
366,[],,
367,"[{'timestamp': '2022-01-30T18:58:07+0000', 'text': 'I really luved it akka😍😍❤️', 'id': '17907545543300278'}]",,
368,[],,
369,[],,
370,[],,
371,"[{'timestamp': '2022-04-05T08:08:25+0000', 'text': 'Both 570 or one 570 ah', 'id': '17957129329679818'}, {'timestamp': '2022-04-03T16:25:22+0000', 'text': 'I want', 'id': '18154837363217513'}]",,
372,[],,
373,[],,
374,[],,
375,[],,
376,[],,
377,[],,
378,[],,
379,[],,
380,[],,
381,"[{'timestamp': '2022-02-13T12:00:54+0000', 'text': '6*8 inch la frame vendum mam', 'id': '18165364525175211'}]",,
382,[],,
383,[],,
384,[],,
385,"[{'timestamp': '2022-03-21T17:43:32+0000', 'text': 'How many cost', 'id': '18287629951035501'}, {'timestamp': '2022-02-17T05:02:39+0000', 'text': 'Hlo', 'id': '17917854194129094'}]",,
386,[],,
387,[],,
388,[],,
389,[],,
390,[],,
391,[],,
392,[],,
393,[],,
394,"[{'timestamp': '2022-05-29T16:38:14+0000', 'text': 'Price', 'id': '18138984934264399'}]",,
395,[],,
396,[],,
397,"[{'timestamp': '2022-02-20T07:46:08+0000', 'text': 'Xxl', 'id': '17961193927583436'}, {'timestamp': '2022-02-20T07:45:15+0000', 'text': 'Shirt how much', 'id': '17982893530435459'}, {'timestamp': '2022-02-13T06:17:31+0000', 'text': 'S sise how much', 'id': '17943893692724708'}, {'timestamp': '2022-02-11T16:35:37+0000', 'text': 'Kurti M', 'id': '18198626539150451'}, {'timestamp': '2022-02-11T09:05:15+0000', 'text': 'How much', 'id': '18147454351216770'}, {'timestamp': '2022-02-11T06:23:53+0000', 'text': 'Antha gens dress madum price evlo', 'id': '17903094992343510'}]",,
398,"[{'timestamp': '2022-02-12T03:42:03+0000', 'text': 'Dm', 'id': '17938971730787460'}, {'timestamp': '2022-02-12T03:41:50+0000', 'text': ""I won't this"", 'id': '17912685638242425'}]",,
399,[],,
400,[],,
401,[],,
402,[],,
403,"[{'timestamp': '2022-02-14T04:01:56+0000', 'text': 'Mom daughter combo la venum entha model', 'id': '17930070704088242'}, {'timestamp': '2022-02-14T04:01:32+0000', 'text': 'Hiii sis', 'id': '17937567973904331'}]",,
404,[],,
405,[],,
406,[],,
407,[],,
408,[],,
409,[],,
410,[],,
411,[],,
412,[],,
413,[],,
414,"[{'timestamp': '2022-03-01T16:39:50+0000', 'text': 'Dress vanum', 'id': '17896914965492877'}, {'timestamp': '2022-02-10T18:30:59+0000', 'text': 'Intha dress sum venum', 'id': '17947990012637918'}, {'timestamp': '2022-02-10T18:08:52+0000', 'text': 'I want this dress', 'id': '17909469596380422'}]",,
415,[],,
416,"[{'timestamp': '2022-02-11T04:47:52+0000', 'text': 'Mam I want this saree', 'id': '18219134851113377'}]",,
417,[],,
418,[],,
419,[],,
420,[],,
421,[],,
422,"[{'timestamp': '2022-02-11T08:41:04+0000', 'text': 'Which price sis', 'id': '17977292221450948'}, {'timestamp': '2022-02-10T16:32:53+0000', 'text': 'Mam this model available ha', 'id': '17923707038161223'}]",,
423,"[{'timestamp': '2022-02-27T12:10:31+0000', 'text': 'How many rupees', 'id': '17931144971037568'}]",,
424,[],,
425,[],,
426,[],,
427,"[{'timestamp': '2022-02-27T10:38:31+0000', 'text': 'I want this one', 'id': '17973569641506928'}]",,
428,[],,
429,[],,
430,[],,
431,"[{'timestamp': '2022-02-11T05:57:37+0000', 'text': 'How to buy this', 'id': '18001101013402534'}]",,
432,[],,
433,[],,
434,[],,
435,[],,
436,[],,
437,[],,
438,[],,
439,[],,
440,[],,
441,"[{'timestamp': '2022-04-03T05:39:24+0000', 'text': 'I sets how much', 'id': '17928218186065195'}]",,
442,[],,
443,[],,
444,[],,
445,[],,
446,"[{'timestamp': '2022-02-12T03:43:31+0000', 'text': 'Dm', 'id': '18152351170228512'}]",,
447,[],,
448,[],,
449,[],,
450,[],,
451,[],,
452,[],,
453,[],,
454,[],,
455,[],,
456,[],,
457,[],,
458,[],,
459,[],,
460,[],,
461,[],,
462,[],,
463,[],,
464,[],,
465,[],,
466,[],,
467,[],,
468,[],,
469,[],,
470,[],,
471,[],,
472,[],,
473,[],,
474,[],,
475,[],,
476,[],,
477,[],,
478,[],,
479,[],,
480,[],,
481,[],,
482,[],,
483,[],,
484,[],,
485,[],,
486,[],,
487,[],,
488,[],,
489,[],,
490,[],,
491,[],,
492,[],,
493,[],,
494,[],,
495,[],,
496,[],,
497,[],,
498,[],,
499,[],,
500,"[{'timestamp': '2021-12-22T19:19:44+0000', 'text': 'I need this dress', 'id': '17901335468436545'}]",,
501,[],,
502,[],,
503,[],,
504,[],,
505,[],,
506,[],,
507,[],,
508,[],,
509,[],,
510,[],,
511,[],,
512,[],,
513,[],,
514,[],,
515,[],,
516,[],,
517,[],,
518,[],,
519,[],,
520,[],,
521,[],,
522,[],,
523,[],,
524,"[{'timestamp': '2022-03-30T11:14:18+0000', 'text': 'Cash on delivery available ah', 'id': '17916501686263770'}]",,
525,[],,
526,"[{'timestamp': '2022-02-11T08:20:04+0000', 'text': 'I need kurti and jents shirt in the same combination', 'id': '17958716374590748'}, {'timestamp': '2022-02-10T18:24:14+0000', 'text': 'I want this dress', 'id': '17987746519445409'}]",,
527,[],,
528,[],,
529,[],,
530,[],,
531,[],,
532,[],,
533,[],,
534,[],,
535,[],,
536,[],,
537,[],,
538,[],,
539,[],,
540,[],,
541,[],,
542,[],,
543,[],,
544,[],,
545,[],,
546,"[{'timestamp': '2022-03-10T19:04:50+0000', 'text': 'How to order', 'id': '17845672274736810'}]",,
547,[],,
548,[],,
549,[],,
550,[],,
551,[],,
552,[],,
553,[],,
554,[],,
555,[],,
556,[],,
557,[],,
558,[],,
559,[],,
560,[],,
561,[],,
562,[],,
563,[],,
564,[],,
565,[],,
566,[],,
567,"[{'timestamp': '2022-02-11T03:13:01+0000', 'text': 'Yepdi order pandradhu', 'id': '17929962613915547'}]",,
568,[],,
569,[],,
570,[],,
571,[],,
572,[],,
573,[],,
574,[],,
575,[],,
576,[],,
577,[],,
578,[],,
579,[],,
580,[],,
581,[],,
582,[],,
583,[],,
584,[],,
585,[],,
586,[],,
587,[],,
588,[],,
589,[],,
590,[],,
591,[],,
592,[],,
593,[],,
594,[],,
595,[],,
596,[],,
597,[],,
598,[],,
599,[],,
600,[],,
601,[],,
602,[],,
603,[],,
604,[],,
605,[],,
606,[],,
607,[],,
608,[],,
609,[],,
610,[],,
611,[],,
612,[],,
613,[],,
614,"[{'timestamp': '2022-06-14T01:59:15+0000', 'text': 'Hlloo sister', 'id': '17934854954276925'}, {'timestamp': '2022-06-14T01:40:27+0000', 'text': 'Xxl sice order', 'id': '17940006356141323'}, {'timestamp': '2022-02-10T18:32:58+0000', 'text': 'Ithuvum venum', 'id': '17855866652702538'}, {'timestamp': '2022-02-10T18:27:41+0000', 'text': 'I want this dress', 'id': '17928669449028375'}]",,
615,[],,
616,"[{'timestamp': '2022-03-21T15:30:52+0000', 'text': 'Yennaku oru Top veanum sister', 'id': '17920209971168573'}]",,
617,"[{'timestamp': '2022-02-27T10:42:50+0000', 'text': 'I want this one piece Mam', 'id': '18167643472204022'}]",,
618,[],,
619,[],,
620,"[{'timestamp': '2021-10-04T04:27:59+0000', 'text': 'Tq so much', 'id': '17929278172721304'}]",,
621,[],,
622,[],,
623,[],,
624,[],,
625,[],,
626,[],,
627,[],,
628,[],,
629,[],,
630,[],,
631,[],,
632,[],,
633,[],,
634,[],,
635,[],,
636,[],,
637,[],,
638,[],,
639,[],,
640,[],,
641,[],,
642,[],,
643,[],,
644,[],,
645,[],,
646,[],,
647,[],,
648,[],,
649,[],,
650,[],,
651,[],,
652,[],,
653,"[{'timestamp': '2022-03-26T16:13:07+0000', 'text': ""Saree's la innum en colours irruku"", 'id': '17918625233473558'}]",,
654,[],,
655,[],,
656,[],,
657,[],,
658,[],,
659,[],,
660,[],,
661,[],,
662,[],,
663,[],,
664,[],,
665,[],,
666,[],,
667,[],,
668,[],,
669,[],,
670,[],,
671,[],,
672,[],,
673,[],,
674,[],,
675,[],,
676,[],,
677,[],,
678,[],,
679,[],,
680,[],,
681,[],,
682,[],,
683,[],,
684,[],,
685,[],,
686,[],,
687,[],,
688,[],,
689,[],,
690,[],,
691,[],,
692,[],,
693,[],,
694,[],,
695,[],,
696,[],,
697,[],,
698,[],,
699,[],,
700,[],,
701,[],,
702,[],,
703,[],,
704,[],,
705,[],,
706,[],,
707,[],,
708,[],,
709,[],,
710,[],,
711,[],,
712,[],,
713,[],,
714,[],,
715,[],,
716,[],,
717,[],,
718,"[{'timestamp': '2021-09-18T17:49:25+0000', 'text': 'How to place order', 'id': '17909547437086212'}]",,
719,[],,
720,[],,
721,[],,
722,[],,
723,"[{'timestamp': '2022-02-13T15:10:09+0000', 'text': 'Cash on delivery ah', 'id': '17950273249665591'}, {'timestamp': '2022-02-13T15:09:34+0000', 'text': 'Delivery charge Who much', 'id': '18006606106391324'}]",,
724,[],,
725,[],,
726,[],,
727,[],,
728,[],,
729,[],,
730,"[{'timestamp': '2021-08-20T04:04:11+0000', 'text': '❤️😮', 'id': '17842923143643084'}]",,
731,[],,
732,[],,
733,[],,
734,[],,
735,[],,
736,[],,
737,[],,
738,[],,
739,[],,
740,[],,
741,[],,
742,[],,
743,[],,
744,[],,
745,[],,
746,[],,
747,[],,
748,[],,
749,[],,
750,[],,
751,[],,
752,[],,
753,[],,
754,[],,
755,[],,
756,[],,
757,[],,
758,[],,
759,[],,
760,[],,
761,[],,
762,[],,
763,"[{'timestamp': '2021-08-31T08:02:05+0000', 'text': '😍', 'id': '18132254521213081'}]",,
764,[],,
765,[],,
766,[],,
767,[],,
768,[],,
769,[],,
770,[],,
771,[],,
772,[],,
773,[],,
774,[],,
775,[],,
776,[],,
777,[],,
778,[],,
779,[],,
780,[],,
781,[],,
782,[],,
783,[],,
784,[],,
785,[],,
786,[],,
787,[],,
